Rob1,20140,100,100,90,100,100,98,100,100,100,100,10,20,30,40,50,60,70,80,90,100,-100,200
Rob2,20141,100,100,100,100,100,100,100,90,100,100,10,20,20,40,50,60,70,80,90,100,110,200
Rob3,20142,100,100,100,100,100,100,150,100,99,100,10,20,30,40,50,60,70,80,90,100,50,200
Rob4,20143,100,100,100,100,100,100,100,100,100,100,10,20,45,40,50,60,70,80,90,100,200,60
Rob5,20144,100,100,100,100,100,-10,100,100,100,100,10,20,30,40,50,60,70,80,90,100,200,200
Rob6,20145,100,100,100,100,100,100,100,100,100,100,10,20,30,40,50,60,70,80,90,100,70,200
Rob7,20146,100,10,10,100,100,100,100,100,100,100,10,20,30,30,50,60,70,80,90,100,200,200
Rob8,20147,100,100,100,100,40,100,100,100,100,100,10,20,20,40,50,60,70,80,90,100,200,87
Rob9,20148,100,100,10,100,100,100,100,100,100,100,10,20,30,40,50,60,70,80,90,100,200,200
Rob10,20149,100,100,100,10,100,100,100,100,100,100,10,20,30,60,50,60,70,80,90,100,200,200
